site,time_point,strip,datetime,status,canonical,planned,written,skipped,drop_pct,corrupt,min_fix_type,max_hacc_m,manifest,duration_s,path,skips,note
site_1,T1,strip_1,2026-06-16T10:25:36,abort,false,547,0,0,0.0,0,,,none,31,missions/site_1/strip_1/runs/strip_1_2026-06-16_10-25-36,,false start: 31s
site_1,T1,strip_1,2026-06-16T10:27:42,abort,false,547,0,0,0.0,0,,,none,37,missions/site_1/strip_1/runs/strip_1_2026-06-16_10-27-42,,false start: 37s
site_1,T1,strip_1,2026-06-16T15:52:10,partial,false,547,136,3,2.2,0,6,0.014,ok,319,missions/site_1/strip_1/runs/strip_1_2026-06-16_15-52-10,"leg01:45,92;leg02:0",incomplete: 136f
site_1,T1,strip_1,2026-06-16T16:11:51,ok,true,547,552,0,0.0,0,6,0.014,ok,693,missions/site_1/strip_1/runs/strip_1_2026-06-16_16-11-51,,
site_1,T1,strip_2,2026-06-16T12:57:57,partial,false,625,374,2,0.5,0,6,0.014,broken,574,missions/site_1/strip_2/runs/strip_2_2026-06-16_12-57-57,"leg01:43,50",thermal collapse (~83°C cutout); 374f before cut
site_1,T1,strip_2,2026-06-16T15:05:35,abort,false,625,0,0,0.0,0,,,none,41,missions/site_1/strip_2/runs/strip_2_2026-06-16_15-05-35,,false start: 41s
site_1,T1,strip_2,2026-06-16T15:06:20,ok,true,625,628,1,0.2,0,6,0.014,ok,745,missions/site_1/strip_2/runs/strip_2_2026-06-16_15-06-20,leg01:42,
site_1,T1,strip_3,2026-06-16T10:52:41,abort,false,619,0,0,0.0,0,,,none,18,missions/site_1/strip_3/runs/strip_3_2026-06-16_10-52-41,,false start: 18s
site_1,T1,strip_3,2026-06-16T10:53:16,abort,false,619,0,0,0.0,0,,,none,15,missions/site_1/strip_3/runs/strip_3_2026-06-16_10-53-16,,false start: 15s
site_1,T1,strip_3,2026-06-16T10:56:47,partial,false,619,342,58,14.5,0,,,broken,1019,missions/site_1/strip_3/runs/strip_3_2026-06-16_10-56-47,"leg01:16,24,30-31,34,36,54,56,60,64,76,82,84-86,95-96,99,112,114,118,126;leg03:35,50,58,65,86,89,96,123,125,143,147,150;leg04:3;leg05:0,5,7,9,13,19,23,27,32-33,42,47,49,63,66-67,71-73,75-76,84-85","incomplete: 342f, 5 tracebacks"
site_1,T1,strip_3,2026-06-16T11:29:20,abort,false,619,0,0,0.0,0,,,none,19,missions/site_1/strip_3/runs/strip_3_2026-06-16_11-29-20,,false start: 19s
site_1,T1,strip_3,2026-06-16T11:29:48,ok,true,619,570,51,8.2,0,6,0.017,ok,1049,missions/site_1/strip_3/runs/strip_3_2026-06-16_11-29-48,"leg01:13-14,35,47-48,52,58,64,73,81-82,88,113,141;leg03:26,30,35,54,66,89;leg05:1,14,26,34,46,63,75,81,102,104,111,150;leg07:12,17,31,35,40,48,50,54,57,62,64,67-68,106,112,120,130,136,142",
site_1,T1,strip_4,2026-06-16T10:28:48,ok,true,519,503,16,3.1,0,6,0.014,ok,704,missions/site_1/strip_4/runs/strip_4_2026-06-16_10-28-48,"leg05:2,46,80,84,87,90-91,93,109;leg07:12,32,38,70,81,108,120",
site_1,T1,strip_5,2026-06-16T12:25:27,partial,false,526,223,3,1.3,0,6,0.014,ok,423,missions/site_1/strip_5/runs/strip_5_2026-06-16_12-25-27,"leg01:1,45,60","incomplete: 223f, 4 tracebacks"
site_1,T1,strip_5,2026-06-16T12:36:44,ok,true,526,533,0,0.0,0,6,0.014,ok,660,missions/site_1/strip_5/runs/strip_5_2026-06-16_12-36-44,,
site_2,T1,strip_1,2026-06-17T10:36:48,ok,true,331,336,4,1.2,0,6,0.014,ok,445,missions/site_2/strip_1/runs/strip_1_2026-06-17_10-36-48,"leg05:6,38;leg09:37,43",
site_2,T1,strip_2,2026-06-17T10:49:17,ok,true,339,334,5,1.5,0,5,0.014,ok,447,missions/site_2/strip_2/runs/strip_2_2026-06-17_10-49-17,"leg06:0;leg07:12-13,16,20",
site_2,T1,strip_3,2026-06-17T11:27:10,abort,false,331,0,0,0.0,0,,,none,56,missions/site_2/strip_3/runs/strip_3_2026-06-17_11-27-10,,false start: 56s
site_2,T1,strip_3,2026-06-17T11:28:13,partial,false,331,76,0,0.0,0,6,0.014,ok,143,missions/site_2/strip_3/runs/strip_3_2026-06-17_11-28-13,,"incomplete: 76f, 4 tracebacks"
site_2,T1,strip_3,2026-06-17T11:36:47,abort,false,331,0,0,0.0,0,,,none,49,missions/site_2/strip_3/runs/strip_3_2026-06-17_11-36-47,,false start: 49s
site_2,T1,strip_3,2026-06-17T11:37:40,ok,true,331,323,18,5.3,0,6,0.014,ok,520,missions/site_2/strip_3/runs/strip_3_2026-06-17_11-37-40,"leg01:30-37;leg02:0;leg05:0,26-27;leg09:2,9,35-37,40",
site_2,T1,strip_4,2026-06-17T12:12:05,ok,true,342,335,7,2.0,0,6,0.014,ok,480,missions/site_2/strip_4/runs/strip_4_2026-06-17_12-12-05,"leg03:0;leg07:31-33;leg09:0;leg11:27,41",
site_2,T2,strip_1,2026-06-17T14:01:34,ok,true,331,340,2,0.6,0,6,0.014,ok,499,missions/site_2/strip_1/runs/strip_1_2026-06-17_14-01-34,"leg03:12,37",
site_2,T2,strip_2,2026-06-17T14:10:44,ok,true,339,333,6,1.8,0,5,0.014,ok,446,missions/site_2/strip_2/runs/strip_2_2026-06-17_14-10-44,"leg07:11,15,21-23;leg09:57",
site_2,T2,strip_3,2026-06-17T14:43:22,ok,true,331,339,1,0.3,0,6,0.014,ok,444,missions/site_2/strip_3/runs/strip_3_2026-06-17_14-43-22,leg11:41,
site_2,T2,strip_4,2026-06-17T15:04:31,abort,false,342,0,0,0.0,0,,,none,46,missions/site_2/strip_4/runs/strip_4_2026-06-17_15-04-31,,false start: 46s
site_2,T2,strip_4,2026-06-17T15:05:21,abort,false,342,5,1,16.7,0,6,0.014,ok,70,missions/site_2/strip_4/runs/strip_4_2026-06-17_15-05-21,leg01:2,false start: 70s
site_2,T2,strip_4,2026-06-17T15:06:58,abort,false,342,0,0,0.0,0,,,none,24,missions/site_2/strip_4/runs/strip_4_2026-06-17_15-06-58,,false start: 24s
site_2,T2,strip_4,2026-06-17T15:07:29,abort,false,342,0,0,0.0,0,,,none,24,missions/site_2/strip_4/runs/strip_4_2026-06-17_15-07-29,,false start: 24s
site_2,T2,strip_4,2026-06-17T15:11:05,ok,true,342,339,3,0.9,0,6,0.014,ok,460,missions/site_2/strip_4/runs/strip_4_2026-06-17_15-11-05,"leg01:1;leg05:25,44",
