2026-06-17 14:10:58,953 [INFO] go2_survey.battery.telemetry: SOC  81% | 30.19V | -5.6A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:08,959 [INFO] go2_survey.battery.telemetry: SOC  80% | 29.61V | -10.4A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:18,961 [INFO] go2_survey.battery.telemetry: SOC  80% | 30.00V | -8.2A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:28,965 [INFO] go2_survey.battery.telemetry: SOC  80% | 29.80V | -11.5A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:39,032 [INFO] go2_survey.battery.telemetry: SOC  79% | 30.05V | -8.1A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:49,034 [INFO] go2_survey.battery.telemetry: SOC  79% | 29.84V | -9.2A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:11:59,037 [INFO] go2_survey.battery.telemetry: SOC  79% | 29.88V | -10.8A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:12:09,039 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.97V | -9.9A (discharging) | batt 30°C | mcu 34°C | cycles 3
2026-06-17 14:12:19,042 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.30V | -13.2A (discharging) | batt 31°C | mcu 34°C | cycles 3
2026-06-17 14:12:29,044 [INFO] go2_survey.battery.telemetry: SOC  78% | 29.94V | -4.2A (discharging) | batt 31°C | mcu 34°C | cycles 3
2026-06-17 14:12:39,047 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.98V | -3.8A (discharging) | batt 31°C | mcu 34°C | cycles 3
2026-06-17 14:12:49,094 [INFO] go2_survey.battery.telemetry: SOC  77% | 30.04V | -8.9A (discharging) | batt 31°C | mcu 34°C | cycles 3
2026-06-17 14:12:59,096 [INFO] go2_survey.battery.telemetry: SOC  77% | 29.65V | -7.8A (discharging) | batt 31°C | mcu 34°C | cycles 3
