config,macro_F1,macro_AP,perfold_F1,perfold_sd
ground/linear s0,0.7379833296608069,0.7991191260491413,0.7239970020551235,0.04670218740527573
ground/linear s1,0.7182315553280469,0.7869526440543884,0.7032675531137267,0.0446939011536977
ground/linear s2,0.7460784609581281,0.8038425147159826,0.7337983635019251,0.031005634704471142
ground/linear ENS,0.7557978506077287,0.8106357833981284,0.7390169400596918,0.026180498778216314
ground/mlp s0,0.7360922062532671,0.7786070866241319,0.71843323564225,0.029214741604877737
ground/mlp s1,0.6919449851240136,0.7433457598664936,0.6854541797523409,0.05175237852144187
ground/mlp s2,0.7007395986003763,0.737786857020897,0.6879445391566519,0.018656393280996983
ground/mlp ENS,0.7260093125518521,0.7991143881785456,0.7144036677645478,0.03616526708871234
drone/linear s0,0.47136901349937144,0.4740048646505026,0.45677967846371076,0.03323109719107076
drone/linear s1,0.4808330015590108,0.4947399843931964,0.45736555072613544,0.03324249977373359
drone/linear s2,0.4721405221317543,0.4735701892337121,0.4569658390655439,0.03284502203100411
drone/linear ENS,0.4757589955996314,0.4849454898944965,0.45938252056422435,0.031119228148149106
drone/mlp s0,0.49280777519667246,0.47520273291849296,0.4820683443773631,0.02651079265699746
drone/mlp s1,0.5071139117430069,0.48325394241303915,0.4876695014415556,0.03540627578748713
drone/mlp s2,0.4960979106071659,0.4670890787537614,0.4811228947652454,0.027761396155817436
drone/mlp ENS,0.5277537833464552,0.5119354981334947,0.5089691145277648,0.022063492426490312
fused/linear s0,0.7204316569564027,0.764815525882638,0.7023853666147674,0.029163347521285698
fused/linear s1,0.7187676809873513,0.7618561751342336,0.7013891327763677,0.03376197953733026
fused/linear s2,0.7164928982609173,0.7604298729424932,0.6989115482932611,0.030351006260871012
fused/linear ENS,0.7196229682510686,0.7666719131090919,0.7013594637718713,0.03039697579539859
fused/mlp s0,0.644851236907576,0.6859037988062948,0.6145405280698807,0.046247818919000545
fused/mlp s1,0.624765123630955,0.6744005282246336,0.6012856926027954,0.0702557767345669
fused/mlp s2,0.47803524818774334,0.5289203228096974,0.43251924782323314,0.15142086727013412
fused/mlp ENS,0.6270344858314497,0.7130986093150993,0.6025501173282701,0.056180754454132995
