seed,fold,Lupinus,Balsamorhiza,Gaillardia,Achillea,Euphorbia,Sisymbrium,Bromus,Poa
0,0,2.0747924,2.408096,3.111256,2.5845282,3.7976377,2.2357724,3.0752099,1.3735366
0,1,2.2394106,2.5290606,3.2729645,2.577349,3.3751006,2.3310604,2.9822652,1.2310936
0,2,1.9732257,2.2565181,3.2186391,2.5114245,3.1325474,2.2488723,2.6380665,1.2183415
0,3,1.9428163,2.5764418,3.2911432,3.0223727,3.5395935,2.070931,2.9299462,1.2229916
0,4,2.1421669,2.4711895,3.3124964,2.877915,2.899076,2.4214053,2.8753965,1.1666398
1,0,2.0256245,2.3171585,3.669176,2.9137278,2.9734607,2.110544,2.9191825,1.414982
1,1,2.2696767,2.607412,3.2339172,2.8596387,3.7329242,2.6108258,3.0891426,1.3062183
1,2,2.0779114,2.3919823,3.3736305,2.6491578,2.7795956,2.283853,2.7485871,1.2925978
1,3,2.1342666,2.550408,3.3439443,3.031796,3.3519208,2.1636643,3.3390293,1.3087934
1,4,2.2141654,2.4283483,2.5669997,2.6755383,3.1988714,2.4717584,2.8889005,1.2429743
2,0,2.1178973,2.5618525,2.9387715,2.7125106,3.2810774,2.2697556,2.7110453,1.3951385
2,1,2.174465,2.446581,2.7509985,2.6590083,3.5902665,2.2230868,2.7382402,1.1550336
2,2,1.9830686,2.2925606,3.3113546,2.6937032,3.4040315,2.2723196,2.801093,1.2665532
2,3,1.9644856,2.4564774,3.2067358,2.8957486,3.4934285,2.059503,2.8462174,1.2002287
2,4,1.9772044,2.3100493,3.3053868,2.652357,2.8963416,2.2745929,2.809109,1.1900151
