config,d,macro_F1,macro_AP,perfold_F1,perfold_sd
linear/both/full,3584,0.6288022068493174,0.7159173993249348,0.6076282394793411,0.01183961727896706
linear/both/center3m,3584,0.6221212132072002,0.696429747025846,0.6117242669680305,0.015476490683988936
linear/both/center2m,3584,0.6040365670296166,0.6862051183347863,0.5967782990852839,0.016570486518944962
linear/both/bottom3m,3584,0.61501514654865,0.7044594941751918,0.6008441191773155,0.02750992556216626
linear/both/bottom2m,3584,0.6053640459045212,0.6831090026784821,0.5946365928203385,0.021577308690258198
mlp/cls/full,3584,0.6524959739487686,0.688917101474577,0.6375769246230647,0.03369006507368143
mlp/cls/center3m,3584,0.6505486339285871,0.6898040500372736,0.6337542851282423,0.02249224553301033
mlp/cls/center2m,3584,0.631206520465058,0.6657314395523,0.6243564204938699,0.019493657716043
mlp/cls/bottom3m,3584,0.6471160013790935,0.6868653890157734,0.6327455845168621,0.032045744531706256
mlp/cls/bottom2m,3584,0.634944321879304,0.6724154769339507,0.6209236200826332,0.026984519304812837
"linear/both/full+aug(c3,b3)",3584,0.6380245456978,0.7027245346834196,0.6289911424440261,0.019933983253881692
"mlp/both/full+aug(c3,b3)",3584,0.6495528728320402,0.6906530867262146,0.6339527634436625,0.029168816951305136
