config,macro_F1,macro_AP,perfold_F1,perfold_sd
ground_only s0,0.7031331687750803,0.781158430375968,0.7060378450939204,0.061455404489161244
ground_only s1,0.7484161141090067,0.8034160394316631,0.735357953056272,0.03181619829173452
ground_only s2,0.7047156131453796,0.7677388124242948,0.7070690373912007,0.05981490007816355
ground_only ENS,0.7479102950956598,0.8016446739390224,0.7349183053264794,0.031680223859767924
sum_fixed s0,0.7036739701863475,0.7523000339966127,0.6910857850006344,0.02304129065990829
sum_fixed s1,0.7029575729562105,0.754647463524865,0.6906273113970867,0.02323140648618358
sum_fixed s2,0.7039766324318846,0.7514474460857927,0.6890775277625412,0.024430173183999294
sum_fixed ENS,0.7021751715667337,0.7560371813699922,0.6886828977595039,0.022457491417439683
gate_scalar s0,0.6712800213501623,0.7068962210926325,0.6614578839757698,0.02892642677188289
gate_scalar s1,0.6712665848693518,0.7073747266706766,0.6585449910340084,0.024882625225438704
gate_scalar s2,0.6409859144355393,0.6941689490051288,0.6369095931406487,0.034996881780451856
gate_scalar ENS,0.676849734925596,0.7145004102102457,0.6650403665499617,0.02387956755038424
gate_perclass s0,0.6722475243743572,0.7090646617613421,0.6633838347491142,0.022621734595739323
gate_perclass s1,0.6397658458863573,0.6956923642366832,0.6375900437665172,0.03570703255667581
gate_perclass s2,0.6676600972685589,0.703633270859401,0.6554135077240442,0.02271532330261806
gate_perclass ENS,0.674098411417771,0.7184003743235603,0.6637183872253297,0.022918020687101064
fusion_mlp s0,0.6762505118746054,0.7061841454706235,0.6557903191548226,0.029091593767369927
fusion_mlp s1,0.6460465329482695,0.6882559458438432,0.6303303307728776,0.0391735962346337
fusion_mlp s2,0.6429401914729166,0.6722710891243343,0.6233398480268015,0.026895406311795256
fusion_mlp ENS,0.7080823150558424,0.7502145317285946,0.6874438108323342,0.02634767009956405
