fold,species,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7
0,Lupinus sericeus,5.089704,0.6349918,0.124842785,-0.226841,-0.21472582,0.14059944,-0.09916661,0.0738708,1.4276394,-0.75514776,0.73345023,0.04823244,-0.27798924,0.2638547,-0.44818836,0.024040211
0,Balsamorhiza sagittata,0.16971016,4.481588,0.2135366,0.40160796,0.41097072,0.32073566,0.46689686,0.01552977,0.05035778,2.7244563,-0.05370822,0.061312538,-0.31549743,-0.048209514,0.2666664,-0.32735324
0,Gaillardia aristata,-0.0057757627,-0.36592075,5.423783,0.61460054,-0.55355,0.8499107,-0.3081723,0.41708916,1.3142488,0.7322039,2.0405915,0.5818882,-0.43781635,0.1894505,0.0039150943,0.36987925
0,Achillea millefolium,-0.48236957,0.6110997,1.0481963,5.3043566,0.12777445,0.4926494,-0.5571847,0.65294826,0.46707544,0.68382066,-0.22021692,1.474766,-0.7601045,-0.22787794,-0.6823571,-0.008584842
0,Euphorbia virgata,0.9891268,-0.57189983,-0.59728,-0.06412732,5.6849227,1.4191742,0.258661,-0.9957534,-0.5493714,-1.5380613,-0.8037616,0.39824626,2.025394,0.20004185,0.17206083,0.41685647
0,Sisymbrium altissimum,0.17199446,0.072352156,0.08149708,0.019625325,-0.008433914,4.8609757,0.6834708,0.05245883,-0.07272863,-0.008080977,-0.3606857,-0.33213362,-0.25149515,1.0100863,0.31099486,-0.7535696
0,Bromus tectorum,-0.38928992,0.8597199,0.0188242,0.10216234,0.25595933,0.8739551,5.020438,0.07381698,0.1396604,-0.1293637,0.05268853,-0.024294762,-0.039088104,-0.15516935,1.3963292,-0.42064092
0,Poa bulbosa,-0.06233466,-0.22414392,0.32002732,0.2720068,0.12641871,-0.44982803,-0.12099833,4.3881726,0.045572203,0.08093542,-0.0009073997,0.12355006,0.18831335,-0.20962359,0.053029913,0.5838372
1,Lupinus sericeus,5.303725,0.32454613,0.4833174,0.048596635,-0.1727068,0.39280814,-0.15281527,-0.038825877,1.5825038,-0.42532182,0.62122816,0.14977586,-0.16098952,0.33663857,-0.437472,-0.10564679
1,Balsamorhiza sagittata,0.19679406,4.4309545,0.63606983,0.63266146,-0.064133674,0.1957777,0.1990931,-0.10073208,-0.11521223,2.9641347,-0.32130954,0.57007825,-0.43341175,-0.02340013,0.041226797,-0.7082563
1,Gaillardia aristata,0.1733981,-0.3687738,4.8504386,0.38441402,-0.49453983,0.36851442,0.7934311,0.43887222,1.5201627,0.44627324,2.0439575,0.28153992,-0.25165153,0.6875157,-0.31100824,0.81838936
1,Achillea millefolium,-0.39266643,0.5885513,0.08067711,5.131031,0.21889728,1.4587525,-0.89934444,-0.10131752,0.21500123,0.37409925,-0.58680385,1.6338313,-0.6374785,0.2574602,-0.30192956,0.23266526
1,Euphorbia virgata,1.5265347,-0.6995623,-0.8467441,0.25657743,4.8761415,0.77966994,0.51762354,0.12672438,-1.2487006,-1.0365672,-0.6328584,-0.25880817,2.9636877,-0.10973125,0.9664606,1.1154052
1,Sisymbrium altissimum,0.25171268,-0.16308023,-0.1349451,0.22414225,-0.13462655,5.017579,0.79008555,0.42098722,-0.12932613,-0.16732724,-0.50151265,-0.1369026,-0.4716638,1.0977443,0.36101446,-0.70333624
1,Bromus tectorum,-0.16727796,0.96169734,-0.0799856,0.12325253,0.116809435,0.7263733,5.0646887,0.35758963,-0.0720076,-0.18432523,-0.21656522,-0.25602415,-0.3897824,0.17353779,1.3393997,-0.25326157
1,Poa bulbosa,0.16671483,-0.23792134,0.16261387,0.17190005,0.10166066,-0.4350998,-0.09162385,4.3835382,-0.14573848,0.13615845,-0.21236295,0.024877606,0.11977651,-0.117622815,-0.026751535,0.64824
