config,macro_F1,macro_AP,perfold_F1,perfold_sd
bce_pos_weight s0,0.7223098053180035,0.788552427127737,0.7139656014656219,0.06099676956880848
bce_pos_weight s1,0.7277068569155719,0.7903438977958104,0.7220974306726498,0.05200576285630091
bce_pos_weight s2,0.6838006284579905,0.7818340521071561,0.6878165269449222,0.059594780451004685
bce_pos_weight ENS,0.747629756559631,0.8067028157001986,0.7359671214810481,0.03631345965143525
focal s0,0.6418558844423122,0.7371726358473866,0.6669861917839377,0.11429220272061154
focal s1,0.5563482473999786,0.6978726685317059,0.6219498517194417,0.09474936416261782
focal s2,0.5616913885001533,0.7128290929714635,0.640942907357698,0.11564227459824435
focal ENS,0.7324016909163201,0.774066534408443,0.7162201031041706,0.04404060217724227
asl s0,0.5129643017466676,0.5128497131979539,0.5454693756631586,0.012795633234813374
asl s1,0.5236085750328734,0.4837176747548398,0.5825784526862173,0.0632708689455477
asl s2,0.47623165699967746,0.42007284121683963,0.5325583488587814,0.07494222252479636
asl ENS,0.5099479350266758,0.6272216638169419,0.5580425396476604,0.05589050023414056
