head,lr,seed,macro_f1,fold_mean,fold_sd,median_best_epoch,Lupinus,Balsamorhiza,Gaillardia,Achillea,Euphorbia,Sisymbrium,Bromus,Poa
linear,0.001,0,0.4497466830262052,0.44575353484254776,0.015394212956019122,59,0.74090571640683,0.603448275862069,0.26985151710781147,0.19576059850374064,0.1439084219133279,0.5254736842105263,0.3411875589066918,0.7774376912986445
linear,0.003,0,0.5225924956050252,0.5127035383777747,0.015989864540050653,56,0.7309451219512195,0.6786824114356743,0.39029535864978904,0.3087557603686636,0.28306264501160094,0.577019568489714,0.4456596035543404,0.7663194953791991
linear,0.01,0,0.5631261385315207,0.5504894831442316,0.00803079028270013,39,0.7283903188628505,0.7295423023578363,0.47832585949177875,0.38461538461538464,0.34782608695652173,0.5845629965947786,0.4987735077677841,0.7529726516052319
linear,0.03,0,0.5579654169885118,0.540898215348489,0.013845459492044026,41,0.7242447714949651,0.7453600593912398,0.4440894568690096,0.38235294117647056,0.30927835051546393,0.5816876122082585,0.5305719921104537,0.7461381521422326
linear,0.1,0,0.51610524340718,0.5031111308335847,0.015036351470059934,46,0.7151140316969463,0.7169540229885057,0.35561877667140823,0.3225806451612903,0.21621621621621623,0.5857740585774058,0.48007246376811596,0.736511732177552
mlp,0.0001,0,0.5961791138328133,0.5889886110476046,0.024725451982621223,53,0.7710651828298887,0.7869598180439727,0.5218855218855218,0.43776824034334766,0.27835051546391754,0.6256529309344168,0.5601577909270217,0.7875929102344197
mlp,0.0001,1,0.5963006066159202,0.5912098859801664,0.028510651705419693,53,0.7653142402545744,0.7978560490045942,0.5306122448979592,0.44541484716157204,0.2613065326633166,0.6184597295708407,0.5610494450050454,0.7903917643694596
mlp,0.0001,2,0.5961671982235144,0.5911800495906332,0.02825717315394001,47,0.7667858561779897,0.7906273620559335,0.5218855218855218,0.44863731656184486,0.2604166666666667,0.6280701754385964,0.5627450980392157,0.7901695889623455
mlp,0.0003,0,0.6106649460350426,0.6052557401316111,0.04132572895715654,28,0.767536704730832,0.7996832937450514,0.5643939393939394,0.4639175257731959,0.2808988764044944,0.6368286445012787,0.5814696485623003,0.7905909351692484
mlp,0.0003,1,0.6082260512592755,0.6019368948171387,0.028982892894457116,28,0.7689161554192229,0.8040752351097179,0.5418181818181819,0.4743276283618582,0.29473684210526313,0.6292412091301666,0.5656350053361793,0.7870581527936146
mlp,0.0003,2,0.6105057295674493,0.6053620236013961,0.040236263099037606,31,0.7743254292722813,0.8069620253164557,0.5485074626865671,0.46153846153846156,0.26666666666666666,0.639030612244898,0.6011049723756906,0.7859102064385737
mlp,0.001,0,0.6099704000521865,0.5940140491154138,0.027335574211366277,23,0.7653910149750416,0.8119800332778702,0.5755693581780539,0.4722222222222222,0.2222222222222222,0.6429051782111634,0.6034063260340633,0.7860668452968552
mlp,0.001,1,0.599090031728032,0.5906986375158956,0.020526905242789356,18,0.7561665992721391,0.7856598016781083,0.5350553505535055,0.4648910411622276,0.273224043715847,0.6181818181818182,0.5765765765765766,0.7829650226840333
mlp,0.001,2,0.5991801092823981,0.5955082029613272,0.039617016066398,19,0.7644191714053615,0.7977707006369427,0.5335753176043557,0.46798029556650245,0.24864864864864866,0.6336154776299879,0.5669291338582677,0.7805021289091176
mlp,0.003,0,0.5983446339802879,0.5955570501915932,0.04105874759031622,21,0.7572419420644635,0.7941176470588235,0.5476673427991886,0.4228855721393035,0.24598930481283424,0.6309444072337576,0.5997610513739546,0.7881498043599776
mlp,0.003,1,0.5939716772682815,0.585997473671521,0.02114387698771379,21,0.7492771581990912,0.7993630573248408,0.5340501792114696,0.423963133640553,0.2727272727272727,0.6111111111111112,0.5776330076004343,0.7836484983314794
mlp,0.003,2,0.6001052526604009,0.5817477647152974,0.01999991919239276,22,0.7689110556940981,0.8115687992988606,0.5267175572519084,0.43902439024390244,0.27053140096618356,0.6373770491803279,0.5707491082045184,0.7759626604434072
mlp,0.01,0,0.5660065747975574,0.5581428700314557,0.02083827388132179,18,0.7343032159264931,0.7658574784651527,0.462015503875969,0.39909297052154197,0.29333333333333333,0.587833996588971,0.5126705653021443,0.7729455343668542
mlp,0.01,1,0.5559226620776132,0.5516608248216641,0.028839328724490118,29,0.7214539707625445,0.7434161023325809,0.48366013071895425,0.3878787878787879,0.2613065326633166,0.5699052132701422,0.5150048402710552,0.7647557187235244
mlp,0.01,2,0.5585027531407825,0.5438011732268058,0.013575025687147085,19,0.7303727200634417,0.7732283464566929,0.4838709677419355,0.3431542461005199,0.26842105263157895,0.5916398713826366,0.5280665280665281,0.7492682926829268
