config,macro_F1,macro_AP,perfold_F1,perfold_sd
linear/both (ref),0.6288022068493174,0.7159173993249348,0.6076282394793411,0.01183961727896706
mlp h512 p0.2 wd1e-2 s0,0.6524959739487686,0.688917101474577,0.6375769246230647,0.03369006507368143
mlp h512 p0.2 wd1e-2 s1,0.6460341157656552,0.6854161290033649,0.6335515481003767,0.030707079372853347
mlp h512 p0.2 wd1e-2 s2,0.6505148711662553,0.6925279948666986,0.6390483791329132,0.025404697050624855
mlp h512 p0.2 wd1e-2 ENS(3 seeds),0.655022545294051,0.6967562280286316,0.6415544608492447,0.03143189502042115
mlp h256 p0.2 wd1e-2 s0,0.6533609706058134,0.6942697374906341,0.6383367451271383,0.0299223440741631
mlp h256 p0.2 wd1e-2 s1,0.6565967315475315,0.7038731821419681,0.6383400031714382,0.03062826633198557
mlp h256 p0.2 wd1e-2 s2,0.6556720808962249,0.6973662101957029,0.6398410038386461,0.024357165865535102
mlp h256 p0.2 wd1e-2 ENS(3 seeds),0.6562150335278107,0.7087380391373201,0.6409165369719136,0.0320874861896033
mlp h256 p0.4 wd1e-2 s0,0.6603735849780186,0.7064200796621523,0.6416373604073143,0.020938067570977957
mlp h256 p0.4 wd1e-2 s1,0.6606964052400628,0.7112814410780026,0.6444561773681039,0.028086857173489025
mlp h256 p0.4 wd1e-2 s2,0.6616638714035662,0.7096824514315122,0.6434397509402165,0.025564768226269616
mlp h256 p0.4 wd1e-2 ENS(3 seeds),0.6661077376015138,0.7177982220876955,0.6478134261436759,0.025493462063062928
mlp h256 p0.2 wd5e-2 s0,0.6548791130439844,0.6951723827172485,0.6389677875715931,0.030693219893255998
mlp h256 p0.2 wd5e-2 s1,0.6562365243398316,0.7039704264934614,0.6379546373375118,0.03025716729604208
mlp h256 p0.2 wd5e-2 s2,0.6556700762635077,0.6975936833767802,0.6399355558136314,0.02499180754729812
mlp h256 p0.2 wd5e-2 ENS(3 seeds),0.6556839269407915,0.7086371378594676,0.6399712652662903,0.030506645632460864
mlp h128 p0.3 wd3e-2 s0,0.657804441518308,0.7048997099407435,0.646239135041365,0.029216829435666048
mlp h128 p0.3 wd3e-2 s1,0.6622510441961322,0.7051547324903238,0.6442930923648573,0.02758981461643006
mlp h128 p0.3 wd3e-2 s2,0.6585198442083998,0.7080729891106323,0.6437260111344177,0.02771786252402573
mlp h128 p0.3 wd3e-2 ENS(3 seeds),0.6667983908583559,0.7159211211468619,0.6511925128616578,0.025918595530305216
mlp h64  p0.2 wd1e-2 s0,0.6647890957808065,0.7111214190862898,0.6445975344806915,0.025789623747570704
mlp h64  p0.2 wd1e-2 s1,0.6607789137343474,0.7057429621104662,0.6408970321286999,0.023902475161300597
mlp h64  p0.2 wd1e-2 s2,0.6546867749008681,0.6998539650947112,0.6485521812181068,0.03397035373437232
mlp h64  p0.2 wd1e-2 ENS(3 seeds),0.6640578675963322,0.7173437491558168,0.644433195751194,0.02095559580654497
linear + mlp[h256 p0.4 wd1e-2] ENS,0.6838450556350935,0.737807012181647,0.6625851938856346,0.028412903186554952
