config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
linear/both (ref),0.8882312833244895,0.901425624997265,0.7311427901947167,0.5705317020664745,0.36856238592563745,0.7217852516370307,0.6660452863509222,0.879614870102942
mlp h512 p0.2 wd1e-2 s0,0.9034246115725977,0.9037231712683879,0.6745045888150938,0.48904333903245434,0.2468790915774115,0.727664427186718,0.6710094338824826,0.8950881484614702
mlp h512 p0.2 wd1e-2 s1,0.9035361861576104,0.8962878696823718,0.6735992946412123,0.5130580652062685,0.20997578254478205,0.7252624283160455,0.6655786850848973,0.8960307203937311
mlp h512 p0.2 wd1e-2 s2,0.8985258458105854,0.8955336164252603,0.6460292922390181,0.517998940626962,0.28343156446407647,0.7328288700277235,0.6728197619345271,0.8930560674054362
mlp h512 p0.2 wd1e-2 ENS(3 seeds),0.9055845677457965,0.9020031249636645,0.6769905990332806,0.5174789966355906,0.25098122413266777,0.7399861776548201,0.6803456696047869,0.900679464458445
mlp h256 p0.2 wd1e-2 s0,0.9001442837460666,0.9011539679749002,0.6757581134147482,0.5156034790222592,0.24837014859663145,0.732367975454572,0.6810374584317016,0.8997224732841937
mlp h256 p0.2 wd1e-2 s1,0.9130328555525438,0.9040724404377835,0.6814537948610052,0.5202063070963574,0.3091825837056235,0.7165726398896073,0.6870053042122186,0.8994595313806062
mlp h256 p0.2 wd1e-2 s2,0.8963793270523469,0.9001194601620739,0.6895811191723079,0.5166579381904336,0.28120240352628173,0.7318536390572997,0.6715651228999552,0.8915706715049234
mlp h256 p0.2 wd1e-2 ENS(3 seeds),0.9086677666185169,0.9049639428988318,0.6925397298278543,0.5260139504075412,0.3030167008188078,0.7413752168486468,0.6907604302426396,0.9025665754357235
mlp h256 p0.4 wd1e-2 s0,0.8969254970982261,0.9031772360261512,0.6669235391793592,0.506346564954543,0.35626892895818724,0.7408043530370368,0.6815686320252445,0.8993458860184704
mlp h256 p0.4 wd1e-2 s1,0.9012902427495146,0.9041745348652932,0.660918494196776,0.5192974511054559,0.3737589985411874,0.7388925889353595,0.6920361686877436,0.8998830495426906
mlp h256 p0.4 wd1e-2 s2,0.8967159138075531,0.8993436860434539,0.6681313854773179,0.5118450799100877,0.374052337449372,0.7399788299810758,0.6886528983245562,0.898739480458681
mlp h256 p0.4 wd1e-2 ENS(3 seeds),0.9018280671830722,0.9053053146267611,0.676919409112506,0.5261157388159445,0.3837066156639494,0.7485154373314883,0.6969788501296333,0.9030163438382093
mlp h256 p0.2 wd5e-2 s0,0.9028670160346687,0.9016253792118235,0.6746243470573265,0.5145190372337904,0.24683646049329802,0.7322948056970893,0.6880797906625716,0.9005322253474193
mlp h256 p0.2 wd5e-2 s1,0.9130772245126682,0.9041580512058829,0.6818344055840863,0.5202163910889686,0.3094091188827912,0.7164386297969598,0.6871546558415453,0.8994749350347888
mlp h256 p0.2 wd5e-2 s2,0.8966228796135716,0.9001747741874185,0.6897356563015288,0.5167948371427143,0.28204388721353674,0.7319399384235936,0.6717407323226787,0.8916967618091991
mlp h256 p0.2 wd5e-2 ENS(3 seeds),0.9096655021684703,0.9051577297383634,0.6914296825888598,0.5246556552363842,0.30174718470143,0.7405488865026084,0.6929212676394219,0.9029711943002025
mlp h128 p0.3 wd3e-2 s0,0.9019238328765379,0.9057083080317139,0.6763317159018581,0.524378699123148,0.3038426867489873,0.7408971779607136,0.6866876326362535,0.8994276262467347
mlp h128 p0.3 wd3e-2 s1,0.9011924940537402,0.897841332640382,0.6797438453202715,0.5288020495366804,0.30615564516223004,0.742509836668878,0.6879256999761225,0.8970669565642857
mlp h128 p0.3 wd3e-2 s2,0.8978818018735337,0.9021550952611053,0.6930289419597658,0.5366445383835776,0.31556287210254497,0.7324954765759226,0.686220704790797,0.9005944819378123
mlp h128 p0.3 wd3e-2 ENS(3 seeds),0.9040367019340001,0.9056315422798749,0.6992142137888507,0.5440525049584491,0.3253237066963639,0.7469717166920827,0.6985883413987951,0.9035502414264789
mlp h64  p0.2 wd1e-2 s0,0.895335862252081,0.9033157342143648,0.6687418631974898,0.5463567897738046,0.3765610197281598,0.7323225727994567,0.6707470317304042,0.8955904789945566
mlp h64  p0.2 wd1e-2 s1,0.8984575577057857,0.899954066852145,0.6791336547715715,0.5205958536532125,0.3229282442992104,0.7443806747748789,0.6831206570785394,0.8973729877483855
mlp h64  p0.2 wd1e-2 s2,0.9042091844457188,0.9012308471408476,0.6635566664149747,0.5118467475597331,0.3090155877843327,0.7263977269332121,0.687246889388771,0.8953280710900999
mlp h64  p0.2 wd1e-2 ENS(3 seeds),0.9049352400946182,0.9057943782920446,0.6837422085644945,0.5432669033943168,0.35784737549300266,0.7462205958029403,0.6950131279324095,0.9019301636727084
linear + mlp[h256 p0.4 wd1e-2] ENS,0.9031592659376294,0.9127914662306635,0.7290212156192084,0.5765031191525414,0.426478009931671,0.7543111309389433,0.6987433492214066,0.9014485404211119
