config,macro_F1,macro_AP,perfold_F1,perfold_sd
ground s0,0.7383580371053093,0.7974451277433814,0.7295778125945489,0.033922051766879464
ground s1,0.7403183650752749,0.8005324756659258,0.7270781263008992,0.030185438939212113
ground s2,0.7427010597170253,0.8046996886702735,0.729176934687664,0.03260029118539823
ground ENS,0.7450397687202077,0.8082893553687092,0.7322952814524587,0.03254343196753091
drone s0,0.46966215423347024,0.47987906377514794,0.45652368240694685,0.03014284384077221
drone s1,0.4691001061953413,0.47546659648640904,0.45587907383882786,0.030473607700668013
drone s2,0.46614086455241005,0.4784816228976107,0.4541077946002612,0.03048578062737723
drone ENS,0.46920273086548425,0.4796279376062229,0.45591017728925864,0.029860939296532826
concat s0,0.7099276312445795,0.7653663931359844,0.6925280653433361,0.022950401473256055
concat s1,0.6720645716942425,0.7409772854555022,0.6670995535348875,0.06110268653104642
concat s2,0.7040409039536055,0.7547023011874916,0.688241567552409,0.023121831487382477
concat ENS,0.7044359662708372,0.7613444914313279,0.6869656983242806,0.022868821949477425
