modality,head,pooling,d,macro_F1,macro_AP,perfold_F1,perfold_sd
concat,linear,cls,1792,0.5631261385315207,0.6386834189230238,0.5504894831442316,0.00803079028270013
concat,linear,both,3584,0.5716010961830846,0.6397103981292454,0.5535053183308272,0.017651091538352242
concat,mlp,cls,1792,0.6099704000521865,0.6345907883733664,0.5940140491154138,0.027335574211366277
concat,mlp,both,3584,0.6034782485394233,0.6249014200440086,0.5864867761782562,0.026664614279221854
ground,linear,cls,768,0.47984572617395865,0.5592300046342646,0.47238593258397443,0.013368202626290335
ground,linear,both,1536,0.49472725275034735,0.5711160046628916,0.4908411429414389,0.026515605689720317
ground,mlp,cls,768,0.5388034363476157,0.560548235564154,0.535335426072284,0.030308922963484444
ground,mlp,both,1536,0.5413509006812824,0.5650713575410824,0.5403938603934841,0.025448575859385324
drone,linear,cls,1024,0.47901097935269343,0.4987869491916882,0.46356788884247335,0.026551751140225767
drone,linear,both,2048,0.4842130353543103,0.5063773021985362,0.46700650370717184,0.02727247128839594
drone,mlp,cls,1024,0.5280191164017971,0.5220210790716477,0.5117299889497904,0.02664406713750374
drone,mlp,both,2048,0.5274072063595896,0.5323765767406374,0.5100708487630338,0.0317826911009976
