target,model,image,eval,n,classes_scored,macro_AP,micro_AP,macro_AUC,micro_F1@0.5,accuracy,balanced_acc,macro_F1,qwk
species,vitb_general,ground_image,test,1613,8,0.48866949869931664,0.6226872969773878,0.7734452718688184,0.6036475725661443,,,,
species,vitb_general,ground_image,tier2,194,7,0.7141039669658057,0.6873209904460036,0.8803946176387161,0.6266666666666667,,,,
artifact_level,vitb_general,ground_image,test,1613,4,,,,,0.8822070675759455,0.5747753977253348,0.5736093539248334,0.9006371889627629
artifact_level,vitb_general,ground_image,tier2,194,4,,,,,0.8711340206185567,0.6098578918322295,0.5980071225678283,0.8726477024070022
species,vitb_general,drone_image,test,1613,8,0.3373703723943887,0.49508873119203156,0.726003484408621,0.5268568491390389,,,,
species,vitb_general,drone_image,tier2,194,7,0.5460844750872644,0.6036743165863246,0.8618497516616281,0.6299559471365639,,,,
artifact_level,vitb_general,drone_image,test,1613,4,,,,,0.4773713577185369,0.31134128595813565,0.2707063079818938,0.06805472944035651
artifact_level,vitb_general,drone_image,tier2,194,4,,,,,0.5360824742268041,0.355442880794702,0.32431693989071037,0.05163918525703204
species,vitl_satellite,ground_image,test,1613,8,0.3950776990102437,0.5722003040477147,0.750554597568291,0.5813403416557161,,,,
species,vitl_satellite,ground_image,tier2,194,7,0.5773986496675959,0.590900465875752,0.8305764692365833,0.5924170616113744,,,,
artifact_level,vitl_satellite,ground_image,test,1613,4,,,,,0.8915065096094235,0.6121739000046402,0.6040293914190293,0.9004303067990089
artifact_level,vitl_satellite,ground_image,tier2,194,4,,,,,0.845360824742268,0.5126356696100074,0.519852003965444,0.830846735128851
species,vitl_satellite,drone_image,test,1613,8,0.3956486059784359,0.521366064960882,0.7578957594811206,0.5515120451050743,,,,
species,vitl_satellite,drone_image,tier2,194,7,0.6163634122558502,0.5798548249471419,0.8563142451776355,0.5939675174013921,,,,
artifact_level,vitl_satellite,drone_image,test,1613,4,,,,,0.5065096094234346,0.29081900015537276,0.2602484648305775,0.07546685054388369
artifact_level,vitl_satellite,drone_image,tier2,194,4,,,,,0.6030927835051546,0.29662205665930835,0.28465598195800057,0.08934048182052301
