config,d,macro_F1,macro_AP,perfold_F1,perfold_sd
drone/linear/cls/r320,1024,0.4806427303151727,0.5047597632078227,0.4670902887530845,0.021821077377808026
drone/linear/both/r320,2048,0.4895487042509429,0.5104207510134731,0.4688359367126278,0.026280557342706765
drone/mlp/cls/r320,1024,0.5221429387562049,0.5232267554805562,0.5079216900712232,0.023555816497061073
drone/mlp/both/r320,2048,0.5364550419995179,0.5328596296140211,0.5153432392503927,0.025649365970127905
ground/linear/cls/g224,768,0.47984572617395865,0.5592300046342646,0.47238593258397443,0.013368202626290335
concat/linear/cls/g224,1792,0.572932362670552,0.6332665642137454,0.5535431552361222,0.010455965458520637
ground/linear/both/g224,1536,0.49472725275034735,0.5711160046628916,0.4908411429414389,0.026515605689720317
concat/linear/both/g224,3584,0.5726709805535682,0.6476089598485701,0.549310187689274,0.016876549110438063
ground/mlp/cls/g224,768,0.5388034363476157,0.560548235564154,0.535335426072284,0.030308922963484444
concat/mlp/cls/g224,1792,0.5957834305906788,0.6291738264475599,0.5820641273810314,0.02417266490433378
ground/mlp/both/g224,1536,0.5413509006812824,0.5650713575410824,0.5403938603934841,0.025448575859385324
concat/mlp/both/g224,3584,0.6016302379744551,0.6302176626181284,0.5846394271839795,0.020684574153863555
ground/linear/cls/g512,768,0.5551228368124907,0.6565789792608016,0.5468532147233389,0.011872551314727944
concat/linear/cls/g512,1792,0.6115533884229087,0.7021400031726674,0.5882525182873783,0.017151281977004777
ground/linear/both/g512,1536,0.5804876499264555,0.6658493970873642,0.5722511209707888,0.014369425348290589
concat/linear/both/g512,3584,0.6146584511719855,0.6906710442331376,0.5995571313941621,0.014145540446642655
ground/mlp/cls/g512,768,0.5886659104475677,0.626704544112868,0.5834439545293444,0.022031002180676048
concat/mlp/cls/g512,1792,0.6433920715350068,0.6778809062053082,0.628148985691919,0.03605730272338605
ground/mlp/both/g512,1536,0.5944917832155145,0.6257377336200098,0.5926718419430885,0.02265950514195282
concat/mlp/both/g512,3584,0.6353176396441793,0.6767542942826634,0.6232561969844234,0.02759174797168107
ground/linear/cls/g768,768,0.5815836847982088,0.684735089860532,0.5689604013594105,0.01222449060085768
concat/linear/cls/g768,1792,0.6132780653797048,0.7070125076599423,0.5968573744038885,0.0170464983379833
ground/linear/both/g768,1536,0.5955180649865932,0.6839227019376436,0.5873796538246573,0.017305845739097055
concat/linear/both/g768,3584,0.6290552528917157,0.7160869812559372,0.6089539389596949,0.013294891908831794
ground/mlp/cls/g768,768,0.6107668771580337,0.6439564902791625,0.6056032979366154,0.02908729783505968
concat/mlp/cls/g768,1792,0.6543447576116947,0.6969000518109347,0.6419778432272768,0.03069505667157477
ground/mlp/both/g768,1536,0.6125425437010117,0.6459783407685142,0.6109192917422555,0.03008026785853229
concat/mlp/both/g768,3584,0.6516851564488269,0.6895342319461942,0.6371783181009526,0.035907861137369074
