config,serice,sagitt,arista,millef,virgat,altiss,tector,bulbos
drone/linear/cls/r320,0.7313239800092874,0.798824288438381,0.4934413960021152,0.24946391189211878,0.1755370828169256,0.5343461460172688,0.3226208899992268,0.7325204104872579
drone/linear/both/r320,0.7194023217203064,0.7904901221886995,0.495777509129909,0.2651777152461513,0.25574347800909936,0.5120749276167155,0.30064150670895246,0.7440584274879506
drone/mlp/cls/r320,0.7594528430423985,0.8111678632721079,0.484225187507346,0.24235378056151294,0.1917138148892008,0.5687339695438635,0.3731339050819467,0.7550326799460734
drone/mlp/both/r320,0.7548657132337151,0.8117179354831882,0.48455810442259234,0.23881321679753897,0.281366448998322,0.597374807479558,0.3469633957225408,0.7472174147747139
ground/linear/cls/g224,0.7950677516874098,0.7442918458059435,0.4396883927909709,0.2895457822646952,0.1242888676426966,0.6378659598629661,0.5886348591382785,0.8544565778811569
concat/linear/cls/g224,0.8430095075805748,0.879886511630956,0.5818113323980257,0.4358791457728671,0.2087669596389749,0.6716046428738488,0.6096952685814828,0.8354791452332325
ground/linear/both/g224,0.7968588476141493,0.7473721426849027,0.46369048835272847,0.28996934320893286,0.12417042761292317,0.6590288946362718,0.6306218778955629,0.8572160152976618
concat/linear/both/g224,0.8417266214666316,0.8690842066480486,0.5992033238011145,0.4158632304342865,0.36207612328943733,0.6433095241474933,0.6122394141978111,0.8373692348037374
ground/mlp/cls/g224,0.8039993060070225,0.7556987871284361,0.4574673588476821,0.28573981721017616,0.0686050847079546,0.6379715634022548,0.6149701732319101,0.8599337939777958
concat/mlp/cls/g224,0.8608646962865507,0.875184825962925,0.5538740058013365,0.37480151333799794,0.18270433023048643,0.6995229007285815,0.6311883188740482,0.8552500203585538
ground/mlp/both/g224,0.8185453921932838,0.7589158460758397,0.4516983821041884,0.25318331826158935,0.057786607606404916,0.6740236871602051,0.6427876675877364,0.8636299593394113
concat/mlp/both/g224,0.8613528581977622,0.8847314255895944,0.5789621770729202,0.36086078613406813,0.18331236483138544,0.6932399241394267,0.6330088510968648,0.8462729138830049
ground/linear/cls/g512,0.8818915075619991,0.8240839754594352,0.6224837318243605,0.5152625665035502,0.19479504527263514,0.7110412937485224,0.6172478281036439,0.8858258856122658
concat/linear/cls/g512,0.889719726939929,0.9036412139825004,0.6601870735338157,0.5524050470503903,0.3887460894644254,0.7199967744053178,0.633677572124934,0.8687465278800277
ground/linear/both/g512,0.8812405651928994,0.8217445338804367,0.6195023188376922,0.4906266017123324,0.22580239985215209,0.7400703618889238,0.6552683723395041,0.8925400229949735
concat/linear/both/g512,0.8860623134772009,0.8947057529088338,0.6843413277064674,0.46704314869185026,0.3709021953841959,0.698843334224164,0.6589593253545432,0.8645109561178455
ground/mlp/cls/g512,0.8812492852109909,0.8063160153593489,0.5919142519397821,0.4581092628886407,0.07581667712691062,0.6884397101182672,0.6212860573533502,0.8905050929056544
concat/mlp/cls/g512,0.8910229102650487,0.886635672614294,0.6210586475181384,0.5299043840639519,0.23240027418121148,0.7224388221553181,0.6639834514519681,0.8756030873925347
ground/mlp/both/g512,0.8831631239915674,0.8072559595951749,0.5647391579103109,0.4209855263166786,0.0773824755716778,0.6991899903513412,0.653825076483468,0.89936055873986
concat/mlp/both/g512,0.8968723313797561,0.8879524126621412,0.623291076680196,0.46474837781636386,0.27073481397579535,0.7135783930851375,0.6667754574113351,0.8900814912505822
ground/linear/cls/g768,0.8883081488617091,0.8287833377343242,0.6834930527228206,0.551001915708304,0.28090721189313067,0.7223507848289609,0.6285661668037701,0.8944701003312359
concat/linear/cls/g768,0.8936635465226878,0.906496096274962,0.718684531725616,0.573659271570427,0.3421985436986936,0.6976502633755328,0.6495618060743075,0.8741860020373117
ground/linear/both/g768,0.8861985689676654,0.8303042897701576,0.6857046202071081,0.5490099106154648,0.23713900845186844,0.7341844965805345,0.6471931407645974,0.9016475801437527
concat/linear/both/g768,0.8872463709425457,0.9010475483083625,0.7339353088397542,0.5678022587650083,0.3721626462999706,0.7235626221609773,0.6646016313445838,0.8783374633862943
ground/mlp/cls/g768,0.8882480696408462,0.8189620673446999,0.6258089401483544,0.501225335005811,0.08565291329320007,0.6909907407087279,0.6399902082054885,0.9007736478861713
concat/mlp/cls/g768,0.9069420752134943,0.9026360197474995,0.6842263786963725,0.5383323918126108,0.25293579130227184,0.7236127044932685,0.6738683743800183,0.8926466788419416
ground/mlp/both/g768,0.889765305134526,0.8167777062286308,0.6189470020444281,0.4800215734773978,0.0747392867235979,0.720700969501174,0.6609707810719249,0.9059041019664343
concat/mlp/both/g768,0.9039538258809539,0.9036044572976604,0.6755658601647417,0.4912826259527111,0.24763574980889205,0.7269578538709613,0.672285434818333,0.8949880477753005
