config,macro_F1,macro_AP,perfold_F1,perfold_sd
k=1 s0,0.7149797911415807,0.7623783562689119,0.6862335977035661,0.017222315464257787
k=1 s1,0.7122610441103263,0.7674962160566631,0.6853562901821307,0.015353267320643727
k=1 s2,0.7127002728648901,0.7642526102414737,0.6860123512044012,0.01425657965330198
k=1 ENS,0.7144842482826799,0.7662175362728787,0.6873018505488285,0.015860752041706554
k=2 s0,0.7109083785281048,0.7618377082411857,0.6842688750022978,0.014842855331940293
k=2 s1,0.7113102955790931,0.7646783024750141,0.6831326891825575,0.014377604104250881
k=2 s2,0.7066920376593941,0.7602396155016232,0.6804502733431145,0.014020523021779642
k=2 ENS,0.7101797526876608,0.7639089296818478,0.6830675731308157,0.015660058804394573
k=4 s0,0.707417750683235,0.7554571306992486,0.6795426463393133,0.013622465266533242
k=4 s1,0.7027645974874758,0.7587862928854562,0.6763838130166847,0.011434289351647154
k=4 s2,0.7063505084819682,0.7567350430667338,0.6793943555164387,0.013754559472693861
k=4 ENS,0.7082676325643782,0.7597329580310859,0.680119853452894,0.010667988493549732
k=8 s0,0.6950332357040901,0.7514669520106998,0.6675951863856303,0.017077965528348733
k=8 s1,0.6956098966927804,0.7454642428468296,0.6677002202447568,0.016054386854497598
k=8 s2,0.6987868531826993,0.7514413185960931,0.6708741253996624,0.014807952058912187
k=8 ENS,0.6972159010172003,0.7520149548044129,0.6689792015844256,0.015535838796655406
k=16 s0,0.6867998234981889,0.739901499799213,0.6629139115904528,0.015113032452238653
k=16 s1,0.687920809385097,0.7414306292290058,0.6597753714803316,0.013947182968657091
k=16 s2,0.6849214593110918,0.7412801050491883,0.6616845199071827,0.01486178272557788
k=16 ENS,0.6899919229307419,0.7429831379983068,0.6634155228866793,0.01585294929832394
k=64 s0,0.6633560770519549,0.7147828297043763,0.6380098304869707,0.013141154842278107
k=64 s1,0.6614835192936219,0.7190575351456354,0.6361196178310896,0.01438188564193115
k=64 s2,0.6647049838655645,0.7171701863609738,0.637793096803844,0.015023649449509166
k=64 ENS,0.6648771869624515,0.7186194242668025,0.638885022088886,0.015325365487090877
k=256 s0,0.6335188971701614,0.6843179737975965,0.6095346541562565,0.010091116905627553
k=256 s1,0.6368831681615328,0.6842063014026409,0.6118932399952903,0.011931114289676133
k=256 s2,0.6386413030497072,0.6864295202509993,0.6126310882163198,0.009271640014854888
k=256 ENS,0.6372599786754467,0.6861732889760066,0.6120461655415677,0.011157731279551712
k=None s0,0.608587111177178,0.6541330931432677,0.589256653464985,0.010382165371286082
k=None s1,0.6130535895482603,0.663896885766573,0.5902864123383755,0.011490915821482947
k=None s2,0.6123461442375826,0.6566051649586527,0.5910101104178814,0.013273140140865756
k=None ENS,0.6118152567307523,0.6610837761604936,0.5910557154295205,0.012550420511840936
