k,seed,macro_f1,macro_ap,Lupinus,Balsamorhiza,Gaillardia,Achillea,Euphorbia,Sisymbrium,Bromus,Poa
1,0,0.7045788284959401,0.7586997584331625,0.9185487567334597,0.9014782698230772,0.8303258485193741,0.6640962290117812,0.3467001675326699,0.7573688959596537,0.7470265494028326,0.9040533504824508
1,1,0.7064573013033917,0.7574127974907364,0.9190203591986151,0.9087109428917332,0.828494744856967,0.6585964642080513,0.32873642420911997,0.7646197272565913,0.7506900640238806,0.9004336532809329
1,2,0.7071830299888986,0.7618359324859493,0.9181065191823811,0.9068194059475388,0.8289823183205142,0.671301106904104,0.3493815890284789,0.766021365601117,0.7531953131852258,0.900879841718234
2,0,0.7020980976481173,0.7553417693909443,0.9175873673270064,0.9041570030013372,0.8324189827075127,0.6447672415300022,0.3232861955059762,0.7617524746662603,0.7594944468869351,0.8992704435025246
2,1,0.7052933838817361,0.7606972932806777,0.9155086957782046,0.9058442065786684,0.8347690986059191,0.6602228313976305,0.3481527746113997,0.7623771996486979,0.754707411712444,0.9039961279124582
2,2,0.7039853413716939,0.7576572566147417,0.9171597706390879,0.903688119517284,0.8300573442046207,0.6609906105471898,0.3284943563927436,0.7585085218360849,0.7597073327408159,0.9026519970401076
4,0,0.6962582540723576,0.7492930464990217,0.9176313479373202,0.9037081480166278,0.8128267680962482,0.6466825677662644,0.29831324566667705,0.7567956415864043,0.7505538040317443,0.9078328488908869
4,1,0.6949016950414396,0.7485953232150069,0.9180164936802118,0.9062483604825342,0.8105562974665997,0.6442019274881042,0.2937529898580148,0.7588366571549618,0.7514078353715552,0.9057420242180737
4,2,0.6976474758859272,0.7490793220983004,0.9176749257948444,0.9084569538432511,0.8153005875426578,0.630859102269785,0.3162541683443584,0.7486823260216138,0.7502224709684971,0.9051840420013959
8,0,0.6886560211379711,0.7410308472524838,0.9199746091503119,0.9001533823339736,0.7920295798712916,0.6187409174014165,0.29413319425348383,0.7572375685545668,0.7411390532468151,0.9048384732080113
8,1,0.6904636717841255,0.7443817171538258,0.9174379010031036,0.9056596798579778,0.7868057591846326,0.622419911926433,0.30900400781339865,0.7525926025765539,0.7556015024102788,0.9055323724582283
8,2,0.6901585870992781,0.7451369027664988,0.9178981086993241,0.9011632207277357,0.7978098380481257,0.6264308090102993,0.3084584188160884,0.7575030138150819,0.7463522697648567,0.9054795432504785
16,0,0.6782385907005847,0.7304091182278355,0.9165114326668594,0.9019201865969874,0.7503444679212935,0.586972930642625,0.27732717246719285,0.7565403402946066,0.7465155415893493,0.9071408736437699
16,1,0.6778879781383631,0.7292389831706696,0.9177971776939506,0.8990111578857287,0.7432755664400112,0.5991890305318743,0.2713077353358105,0.7570195261194484,0.7396711311437658,0.9066405402147666
16,2,0.6780992812478128,0.7345636060098643,0.9171050464618739,0.9012414653139168,0.7573449665728239,0.6126552518787798,0.29949747937419924,0.7504707402387654,0.7325990519894804,0.9055948462490752
64,0,0.6446535179439657,0.7093561557485424,0.9037481545426929,0.8903156500552154,0.6703641072604255,0.5464014216445433,0.29006645263228265,0.7451926644734773,0.7316456928020326,0.8971151025776699
64,1,0.646733213276045,0.7056278027094638,0.9093708742033685,0.8978974796671572,0.6801889739689392,0.5314395419957623,0.2605988808970236,0.7421798004323937,0.7266751246766988,0.8966717458343672
64,2,0.648640856520431,0.7123168613964552,0.9056366537850745,0.8927146759071103,0.6700645855079987,0.5367586935899421,0.31545418788169083,0.7454516756444791,0.7364053242362776,0.8960490946190682
256,0,0.624041190545336,0.6749903940956288,0.8963733335968112,0.8851482863788944,0.6131631626235,0.4870773062458321,0.19682641919705532,0.7136621348499531,0.7183575370881029,0.8893149727848807
256,1,0.6260040573455128,0.6789496810688628,0.8949604359251643,0.8834733474705084,0.6296673785471257,0.49875489791877087,0.2200756747929023,0.7094087165957799,0.7040438985370767,0.8912130987635738
256,2,0.6218216985897287,0.6791530374891939,0.8953877189300654,0.8814677069173474,0.6049732889011055,0.4939009813351848,0.227933227953651,0.7183295855748493,0.7205648284411843,0.8906669618601637
3072,0,0.6053101439764907,0.6590947323170797,0.8679391449686696,0.8712726426320477,0.5801469320076497,0.47359186316835905,0.26678831852044343,0.6741458588395072,0.6639248770867305,0.874948221313231
3072,1,0.5930508070899003,0.6572830960295737,0.876812894707343,0.8719042861880683,0.5341608832438346,0.4800057495200343,0.28532750233201,0.6976797786061572,0.6452583429002723,0.8671153307388706
3072,2,0.5997590179569219,0.6521454508669622,0.8719610672797032,0.8810663038938389,0.57335660643966,0.4643017917929368,0.2118814444538742,0.6784653075234947,0.6652635381034259,0.8708675474487638
